date,number
13-Jan,6732
13-Feb,6679
13-Mar,3980
13-Apr,1904
13-May,1614
13-Jun,2544
13-Jul,2865
13-Aug,3826
13-Sep,4915
13-Oct,4095
13-Nov,2603
13-Dec,2108
14-Jan,5158
14-Feb,13034
14-Mar,12703
14-Apr,4575
14-May,2715
14-Jun,3875
14-Jul,4465
14-Aug,5249
14-Sep,6419
14-Oct,4905
14-Nov,6061
14-Dec,4975
15-Jan,6885
15-Feb,9683
15-Mar,7638
15-Apr,3421
15-May,3579
15-Jun,3840
15-Jul,4522
15-Aug,6419
15-Sep,7456
15-Oct,8421
15-Nov,9583
15-Dec,6479
16-Jan,9704
16-Feb,17870
16-Mar,16060
16-Apr,5475
16-May,3330
16-Jun,5322
16-Jul,9406
16-Aug,18177
16-Sep,30967
16-Oct,29400
16-Nov,17292
16-Dec,6359
17-Jan,7903
17-Feb,7345
17-Mar,4976
17-Apr,3518
17-May,4125
17-Jun,11338
17-Jul,24959
17-Aug,42272
17-Sep,42545
17-Oct,27733
17-Nov,14521
17-Dec,8153
18-Jan,14280
18-Feb,14705
18-Mar,12063
18-Apr,6337
18-May,7141
18-Jun,12236
18-Jul,17797
18-Aug,25632
18-Sep,29740
18-Oct,17234
18-Nov,13248
18-Dec,13522
19-Jan,34897
19-Feb,49380
19-Mar,51128
19-Apr,22407
19-May,15188
19-Jun,23524
19-Jul,27647
19-Aug,27530
19-Sep,52962
19-Oct,39034
19-Nov,29509
19-Dec,23018
20-Jan,52472
20-Feb,33663
20-Mar,13157
